Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot4,"ViolentAmbush",hard,37,Failed,"Lend-Lease - Part 1","Item Single-axis Fiber Optic Gyroscope #1","1","23:41:58","23:43:16",
Bot5,"PoppleO",hard,51,Completed,"Assessment - Part 2","Zone meh_45_radio_area_mark_2","1","23:41:59","23:49:07",
Bot5,"PoppleO",hard,51,Failed,"Assessment - Part 2","Zone meh_45_radio_area_mark_3","1","23:49:12","23:49:19",
Bot5,"PoppleO",hard,51,Active,"Assessment - Part 2","Zone meh_45_radio_area_mark_1","1","23:49:24","N/A",
Bot9,"5o2",hard,34,Failed,"USEC Camp North","USEC Camp North: Objective #1","1","23:42:02","23:49:23",
Bot8,"Tariyihika",hard,32,Failed,"Chumming","Zone place_skier_12_3","1","23:42:02","23:49:34",
Bot6,"Sarix",hard,64,Completed,"ZB014 Outhouses","ZB014 Outhouses: Objective #1","1","23:42:03","23:42:22",
Bot6,"Sarix",hard,64,Completed,"Assessment - Part 2","Zone meh_45_radio_area_mark_4","1","23:42:27","23:42:53",
Bot6,"Sarix",hard,64,Failed,"Assessment - Part 2","Zone meh_45_radio_area_mark_3","1","23:42:58","23:48:03",
Bot11,"MusicManiac",hard,33,Completed,"The Blood of War - Part 3","Zone bar_fuel3_3","1","23:42:03","00:05:36",
Bot11,"MusicManiac",hard,33,Failed,"The Blood of War - Part 3","Zone bar_fuel3_2","1","00:05:41","00:07:45",
Bot11,"MusicManiac",hard,33,Active,"The Blood of War - Part 3","Zone bar_fuel3_1","1","00:07:50","N/A",
Bot10,"K4_a",hard,44,Failed,"Chumming","Zone place_skier_12_3","1","23:42:04","00:03:48",
Bot12,"lukewarmpudding",hard,34,Completed,"Steady Signal","Zone q14_8_1","1","23:42:08","23:47:24",
Bot12,"lukewarmpudding",hard,34,Failed,"Steady Signal","Zone q14_8_3","1","23:47:29","23:49:29",
Bot13,"Bepis",hard,44,Failed,"Return the Favor","Zone place_keeper5_2","1","23:42:08","23:49:19",
Bot3,"Nikita",hard,40,Completed,"Return the Favor","Zone place_keeper5_1","2","23:46:33","23:47:29",
Bot3,"Nikita",hard,40,Completed,"Return the Favor","Zone place_keeper5_2","2","23:47:34","23:48:31",
Bot3,"Nikita",hard,40,Active,"Assessment - Part 2","Zone meh_45_radio_area_mark_1","1","23:48:37","N/A",
Bot32,"Archy",hard,32,Failed,"Weapon Storage Shack","Weapon Storage Shack: Objective #1","1","23:49:33","23:53:28",
Bot31,"Borkel",hard,55,Failed,"Assessment - Part 2","Zone meh_45_radio_area_mark_4","1","23:49:33","23:49:49",
Bot35,"Baliston",hard,35,Failed,"Assessment - Part 2","Zone meh_45_radio_area_mark_4","1","23:53:03","23:53:44",
Bot37,"LunnayaLuna",hard,32,Failed,"Informed Means Armed","Zone place_skier_11_1","1","23:53:03","23:54:06",
Bot36,"Echo55",hard,54,Failed,"Scav House Sniping","Scav House Sniping: Objective #1","2","23:53:03","23:53:54",
Bot36,"Echo55",hard,54,Failed,"Scav House Sniping","Scav House Sniping: Objective #2","1","23:53:44","23:53:54",
Bot2,"DjLang",hard,31,Failed,"Steady Signal","Zone q14_8_4","1","23:57:47","23:58:00",
Bot2,"DjLang",hard,31,Completed,"Steady Signal","Zone q14_8_5","1","23:58:05","00:07:06",
Bot2,"DjLang",hard,31,Failed,"Scav Base","Scav Base: Objective #2","1","00:07:14","00:09:05",
Bot43,"Rena-chan",hard,33,Failed,"Sawmill Marked Circle","Sawmill Marked Circle: Objective #1","1","00:00:58","00:02:30",
Bot42,"Bobitec",hard,47,Failed,"Sawmill Shack","Sawmill Shack: Objective #1","1","00:00:58","00:01:47",
Bot51,"Порфирий Окурок (bandit)",hard,1,Completed,"Sawmill Shack","Sawmill Shack: Objective #1","2","00:05:01","00:06:16",
Bot51,"Порфирий Окурок (bandit)",hard,1,Failed,"Scav Base","Scav Base: Objective #2","1","00:06:21","00:07:30",
Bot52,"Борька Скрипка (kova)",hard,1,Completed,"Scav Base","Scav Base: Objective #2","4","00:05:42","00:07:37",
Bot52,"Борька Скрипка (kova)",hard,1,Completed,"Scav Base","Scav Base: Objective #3","1","00:07:42","00:07:53",
Bot52,"Борька Скрипка (kova)",hard,1,Failed,"Scav Base","Scav Base: Objective #4","2","00:07:58","00:08:13",
Bot1,"papershredder432",hard,31,Completed,"Spine","Spine: Objective #2","1","00:06:05","00:06:51",
Bot1,"papershredder432",hard,31,Completed,"Spine","Spine: Objective #1","1","00:06:56","00:07:14",
Bot1,"papershredder432",hard,31,Completed,"Sniper Rock Crates","Sniper Rock Crates: Objective #2","1","00:07:19","00:07:57",
Bot1,"papershredder432",hard,31,Completed,"Sniper Rock Crates","Sniper Rock Crates: Objective #3","1","00:08:02","00:08:15",
Bot1,"papershredder432",hard,31,Completed,"Sniper Rock Crates","Sniper Rock Crates: Objective #1","1","00:08:20","00:08:36",
Bot1,"papershredder432",hard,31,Completed,"Sawmill Patrol","Sawmill Patrol: Objective #1","2","00:08:41","00:10:33",
Bot1,"papershredder432",hard,31,Active,"Sawmill Patrol","Sawmill Patrol: Objective #2","2","00:10:38","N/A",
Bot57,"Гена Гефорс (红衣抚琴染绛天涯)",hard,1,Pending,"Scav Base","Scav Base: Objective #2","1","00:10:06","N/A",
Bot59,"BlackDeathGER",hard,50,Completed,"Scav Base","Scav Base: Objective #3","1","00:10:51","00:10:54",
Bot59,"BlackDeathGER",hard,50,Completed,"Scav Base","Scav Base: Objective #2","4","00:10:59","00:11:57",
Bot59,"BlackDeathGER",hard,50,Active,"Scav Base","Scav Base: Objective #4","1","00:12:02","N/A",
Bot60,"Life",hard,61,Completed,"Scav Base","Scav Base: Objective #3","1","00:10:52","00:10:54",
Bot60,"Life",hard,61,Failed,"Scav Base","Scav Base: Objective #2","1","00:10:59","00:11:12",
Bot62,"pplatinumssEU",hard,45,Completed,"Scav Base","Scav Base: Objective #2","4","00:12:00","00:14:36",
Bot62,"pplatinumssEU",hard,45,Completed,"Scav Base","Scav Base: Objective #3","1","00:14:41","00:14:46",
Bot62,"pplatinumssEU",hard,45,Failed,"Scav Base","Scav Base: Objective #4","1","00:14:52","00:14:58",
